Březová	-784101.888103	-1057165.14371
Bubovice	-762981.869322	-1053469.22667
Bernardov	-674194.211004	-1060100.46612
Bzová	-786349.309604	-1057316.67384
Cerhovice	-788942.977898	-1063317.20545
Drahelčice	-760306.599534	-1047297.73592
Drozdov	-787175.051462	-1060567.41985
Felbabka	-780626.369775	-1068226.79076
Hlásná Třebaň	-760519.709192	-1058626.56352
Hořovice	-783504.894979	-1065625.34264
Hlízov	-682296.993151	-1061993.60922
Hostomice	-773906.326484	-1068746.33278
Hředle	-781216.865481	-1057385.46201
Hudlice	-777802.956128	-1052338.29424
Hvozdec	-785750.280325	-1068466.63553
Hýskov	-770589.126275	-1049092.40418
Chaloupky	-785700.507392	-1072468.74501
Dolní Pohleď	-696733.346785	-1087390.93777
Paběnice	-683401.748555	-1078303.3395
Bratčice	-674310.134616	-1078703.29526
Chyňava	-767882.178149	-1045955.34408
Jivina	-788904.031471	-1069486.97601
Karlštejn	-762436.310967	-1056826.54957
Komárov	-787787.116836	-1069046.93011
Koněprusy	-770411.599946	-1057541.16229
Drobovice	-675026.556956	-1074078.79647
Horky	-673212.148494	-1075747.95127
Adamov	-676643.007812	-1078036.75711
Kublov	-783680.58187	-1053352.00499
Schořov	-678020.269204	-1077028.15771
Sudějov	-697913.060604	-1075832.82043
Kobylnice	-676087.453274	-1060438.23454
Hraběšín	-681163.727869	-1077275.87104
Šebestěnice	-678779.748881	-1080357.9373
Horka I	-672541.934246	-1064129.42257
Libomyšl	-775618.179508	-1062345.99578
Liteň	-764613.418258	-1060675.98664
Loděnice	-762505.72937	-1051127.72223
Lochovice	-778351.455448	-1064674.47841
Horušice	-671833.797415	-1062338.2834
Hostín	-726722.827869	-1016257.58237
Liblice	-727754.313001	-1018800.41591
Zlončice	-745034.466262	-1027038.88674
Měňany	-767896.534618	-1059023.98195
Mezouň	-758992.709164	-1050264.72028
Mořina	-759296.497153	-1055190.3561
Konětopy	-723412.153745	-1024458.54976
Tuhaň	-732264.132408	-1021084.807
Dobřeň	-727005.110852	-1001320.46956
Neumětely	-773666.188349	-1064229.63312
Nižbor	-774240.79924	-1048133.25269
Nový Jáchymov	-778302.925976	-1049558.519
Nučice	-758498.598601	-1048888.04539
Olešná	-791068.5954	-1070528.21234
Osek	-786563.276662	-1066493.00568
Osov	-770073.013245	-1066552.7489
Kanina	-725388.033636	-1008311.61442
Otročiněves	-775950.968725	-1050328.94877
Lobeč	-719893.173191	-1004426.42508
Podluhy	-783673.998622	-1070127.79941
Praskolesy	-780703.779593	-1062404.7217
Nosálov	-719849.049562	-1002832.68275
Rpety	-780748.734363	-1066863.57129
Rudná	-757784.63672	-1046817.60905
Stránka	-720222.012583	-1008487.75958
Skuhrov	-764568.284363	-1063777.96983
Srbsko	-764646.266883	-1056006.25906
Stašov	-778529.612504	-1060955.37941
Kadlín	-718652.720523	-1010942.54408
Suchomasty	-771658.464254	-1060349.07667
Svatá	-778805.588652	-1054994.75772
Svatý Jan pod Skalou	-764881.644626	-1052859.1289
Svinaře	-762270.311813	-1062163.80218
Tachlovice	-756997.746892	-1050508.01741
Tetín	-767759.237775	-1055977.47698
Tlustice	-784576.698242	-1063693.48882
Tmaň	-773423.920827	-1058726.57544
Nedomice	-726736.148196	-1025420.82726
Jeviněves	-744774.918536	-1013812.56316
Trubská	-775135.282731	-1053602.39168
Lhotka	-729773.814375	-1013163.08588
Újezd	-789345.863022	-1066112.56531
Velký Chlumec	-770158.791639	-1068369.70788
Hostín u Vojkovic	-741069.672601	-1019771.71924
Vidim	-730574.350913	-1002084.54039
Vráž	-765263.744225	-1051084.15244
Všeradice	-768853.891142	-1063506.58417
Vysoký Újezd	-759797.44629	-1052763.11424
Zadní Třebaň	-760764.524944	-1060385.37491
Dolní Zimoř	-731725.118825	-1005812.1419
Zaječov	-789110.509938	-1074509.00248
Záluží	-786364.594149	-1063936.81228
Zdice	-777504.066143	-1057253.81464
Žebrák	-783805.637071	-1061614.54721
Chrášťany	-736857.244296	-1077282.57514
Chlístov	-730744.755153	-1077327.17588
Kladno	-763837.385874	-1033207.11246
Václavice	-733293.359872	-1078023.26257
Běloky	-757303.326379	-1036270.70148
Beřovice	-761674.086241	-1020111.27968
Blevice	-753940.314796	-1027603.09229
Brandýsek	-760058.294373	-1029187.75473
Braškov	-766226.171448	-1038577.36072
Bratronice	-771034.893322	-1041244.29871
Drahňovice	-712753.412759	-1077195.58246
Buštěhrad	-758473.68125	-1033274.68757
Tuřany	-768186.74131	-1022838.50238
Cvrčovice	-760521.853785	-1030461.33824
Lštění	-724221.379945	-1070174.36242
Černuc	-754603.583182	-1016971.59384
Červený Újezd	-760725.580367	-1042001.80317
Doksy	-768816.808839	-1035781.15471
Slověnice	-714651.104731	-1083473.61609
Litichovice	-716703.532233	-1081033.95719
Všechlapy	-711947.907443	-1081685.68575
Družec	-769587.285432	-1037789.8499
Dřetovice	-756554.046771	-1030296.02816
Dřínov	-764840.02855	-1019070.37649
Třebešice	-718399.230135	-1081072.31329
Horní Bezděkov	-768023.683795	-1040929.44158
Hořešovice	-772985.581348	-1018619.56545
Hospozín	-756432.11431	-1015125.94818
Hostouň	-759089.964271	-1038034.80448
Hradečno	-772494.325501	-1028125.90355
Hrdlív	-765699.534133	-1027256.51175
Hřebeč	-760626.49988	-1035310.30147
Chržín	-751189.71464	-1017186.89452
Jarpice	-763227.332498	-1014085.58096
Jedomělice	-773542.78929	-1023102.40261
Jemníky	-762476.878508	-1026503.29339
Kačice	-771745.411587	-1030388.91106
Kamenné Žehrovice	-770379.334584	-1034855.49156
Klobuky	-769696.576629	-1016378.18774
Kmetiněves	-758240.65782	-1015368.80128
Knovíz	-760955.158356	-1026370.79952
Koleč	-755343.142541	-1028946.57056
Kvílice	-769854.964705	-1020172.01612
Kyšice	-765731.740888	-1039766.08473
Ledce	-770268.331946	-1026609.37967
Libušín	-767822.434897	-1030935.09172
Lidice	-758884.630749	-1035373.54766
Tisem	-734618.612609	-1081447.03739
Choratice	-714727.870395	-1074491.01387
Vodslivy	-716116.168781	-1073014.29263
Makotřasy	-756277.734176	-1034567.41249
Malé Kyšice	-768225.429175	-1042731.71616
Malíkovice	-772552.021903	-1024703.6118
Neuměřice	-754468.15949	-1023443.5372
Olovnice	-752954.2724	-1024178.92151
Otvovice	-751631.29373	-1027644.99412
Ctiboř	-713835.089298	-1086577.47735
Pavlov	-760864.808535	-1039483.278
Pchery	-762436.392903	-1028638.14878
Pletený Újezd	-764625.834291	-1037421.94733
Podlešín	-758946.341645	-1025644.75172
Pozdeň	-774971.637337	-1021551.47746
Přelíc	-767755.998942	-1025982.38019
Ptice	-762250.129612	-1044409.92391
Řisuty	-769875.226615	-1024643.65237
Sazená	-749076.226811	-1017363.72879
Slaný	-764272.949799	-1023345.23879
Slatina	-754993.159084	-1026303.26268
Smečno	-768871.774292	-1028382.42013
Stehelčeves	-758322.821976	-1031123.45732
Stochov	-774690.061268	-1030461.80047
Chleby	-737164.657279	-1073077.23796
